0.00.037.456 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.037.556 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.037.701 I srv          init: The UI is disabled
0.00.037.703 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.037.820 W srv  llama_server: -----------------
0.00.037.820 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.037.821 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.037.821 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.037.821 W srv  llama_server: -----------------
0.00.039.050 I srv    load_model: loading model '/srv/external/downloads/Ornith-1.5-35B-Q4_K_M.gguf'
0.00.350.585 W model has unused tensor blk.40.attn_norm.weight (size = 8192 bytes) -- ignoring
0.00.350.604 W model has unused tensor blk.40.post_attention_norm.weight (size = 8192 bytes) -- ignoring
0.00.350.610 W model has unused tensor blk.40.attn_q.weight (size = 9437184 bytes) -- ignoring
0.00.350.612 W model has unused tensor blk.40.attn_k.weight (size = 589824 bytes) -- ignoring
0.00.350.614 W model has unused tensor blk.40.attn_v.weight (size = 860160 bytes) -- ignoring
0.00.350.621 W model has unused tensor blk.40.attn_output.weight (size = 4718592 bytes) -- ignoring
0.00.350.623 W model has unused tensor blk.40.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.350.625 W model has unused tensor blk.40.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.350.627 W model has unused tensor blk.40.ffn_gate_inp.weight (size = 2097152 bytes) -- ignoring
0.00.350.629 W model has unused tensor blk.40.ffn_down_exps.weight (size = 220200960 bytes) -- ignoring
0.00.350.634 W model has unused tensor blk.40.ffn_gate_exps.weight (size = 150994944 bytes) -- ignoring
0.00.350.636 W model has unused tensor blk.40.ffn_up_exps.weight (size = 150994944 bytes) -- ignoring
0.00.350.639 W model has unused tensor blk.40.ffn_gate_inp_shexp.weight (size = 8192 bytes) -- ignoring
0.00.350.641 W model has unused tensor blk.40.ffn_gate_shexp.weight (size = 589824 bytes) -- ignoring
0.00.350.643 W model has unused tensor blk.40.ffn_up_shexp.weight (size = 589824 bytes) -- ignoring
0.00.350.645 W model has unused tensor blk.40.ffn_down_shexp.weight (size = 860160 bytes) -- ignoring
0.00.350.650 W model has unused tensor blk.40.nextn.eh_proj.weight (size = 4718592 bytes) -- ignoring
0.00.350.652 W model has unused tensor blk.40.nextn.enorm.weight (size = 8192 bytes) -- ignoring
0.00.350.654 W model has unused tensor blk.40.nextn.hnorm.weight (size = 8192 bytes) -- ignoring
0.00.350.661 W model has unused tensor blk.40.nextn.shared_head_norm.weight (size = 8192 bytes) -- ignoring
0.04.391.574 I cmn          init: llama threadpool init, n_threads = 16
0.04.521.515 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.04.525.277 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.525.337 I srv  llama_server: model loaded
0.04.525.343 I srv  llama_server: listening on http://127.0.0.1:46399
0.08.610.571 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.610.886 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.12.425.639 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.81 s / 1073.75 tokens per second
0.14.807.841 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.05, t =   6.20 s / 991.47 tokens per second
0.17.408.735 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.06, t =   8.80 s / 931.15 tokens per second
0.20.147.707 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.08, t =  11.54 s / 887.60 tokens per second
0.22.999.095 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.09, t =  14.39 s / 854.04 tokens per second
0.25.966.667 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.11, t =  17.36 s / 826.01 tokens per second
0.29.031.455 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.13, t =  20.42 s / 802.33 tokens per second
0.32.208.144 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.14, t =  23.60 s / 781.11 tokens per second
0.35.476.749 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.16, t =  26.87 s / 762.31 tokens per second
0.38.887.312 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.17, t =  30.28 s / 744.08 tokens per second
0.42.370.931 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.19, t =  33.76 s / 727.96 tokens per second
0.45.974.143 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.20, t =  37.36 s / 712.57 tokens per second
0.49.678.186 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.22, t =  41.07 s / 698.17 tokens per second
0.53.478.994 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.24, t =  44.87 s / 684.67 tokens per second
0.57.380.566 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.25, t =  48.77 s / 671.89 tokens per second
1.01.384.566 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.27, t =  52.77 s / 659.72 tokens per second
1.05.493.929 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36864, progress = 0.28, t =  56.88 s / 648.07 tokens per second
1.09.702.588 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  38912, progress = 0.30, t =  61.09 s / 636.94 tokens per second
1.14.004.870 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  40960, progress = 0.31, t =  65.39 s / 626.36 tokens per second
1.18.427.129 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43008, progress = 0.33, t =  69.82 s / 616.02 tokens per second
1.22.953.279 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45056, progress = 0.34, t =  74.34 s / 606.06 tokens per second
1.27.570.158 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47104, progress = 0.36, t =  78.96 s / 596.56 tokens per second
1.32.294.635 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49152, progress = 0.38, t =  83.68 s / 587.35 tokens per second
1.37.135.841 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51200, progress = 0.39, t =  88.52 s / 578.37 tokens per second
1.42.083.606 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53248, progress = 0.41, t =  93.47 s / 569.66 tokens per second
1.47.144.095 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55296, progress = 0.42, t =  98.53 s / 561.19 tokens per second
1.52.278.537 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57344, progress = 0.44, t = 103.67 s / 553.15 tokens per second
1.57.514.179 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59392, progress = 0.45, t = 108.90 s / 545.37 tokens per second
2.02.877.115 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61440, progress = 0.47, t = 114.27 s / 537.69 tokens per second
2.08.342.845 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63488, progress = 0.49, t = 119.73 s / 530.25 tokens per second
2.13.910.570 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  65536, progress = 0.50, t = 125.30 s / 523.03 tokens per second
2.19.577.098 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  67584, progress = 0.52, t = 130.97 s / 516.04 tokens per second
2.25.359.584 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  69632, progress = 0.53, t = 136.75 s / 509.20 tokens per second
2.31.280.786 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  71680, progress = 0.55, t = 142.67 s / 502.42 tokens per second
2.37.285.872 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  73728, progress = 0.56, t = 148.67 s / 495.90 tokens per second
2.43.394.499 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  75776, progress = 0.58, t = 154.78 s / 489.56 tokens per second
2.49.590.698 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  77824, progress = 0.60, t = 160.98 s / 483.44 tokens per second
2.55.872.392 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  79872, progress = 0.61, t = 167.26 s / 477.53 tokens per second
3.02.269.161 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  81920, progress = 0.63, t = 173.66 s / 471.73 tokens per second
3.08.760.863 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  83968, progress = 0.64, t = 180.15 s / 466.10 tokens per second
3.15.384.092 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  86016, progress = 0.66, t = 186.77 s / 460.54 tokens per second
3.22.108.060 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  88064, progress = 0.67, t = 193.50 s / 455.12 tokens per second
3.28.917.797 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  90112, progress = 0.69, t = 200.31 s / 449.87 tokens per second
3.35.837.886 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  92160, progress = 0.71, t = 207.23 s / 444.73 tokens per second
3.42.876.181 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  94208, progress = 0.72, t = 214.27 s / 439.68 tokens per second
3.50.015.590 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  96256, progress = 0.74, t = 221.40 s / 434.75 tokens per second
3.57.245.531 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  98304, progress = 0.75, t = 228.63 s / 429.96 tokens per second
4.04.573.179 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 100352, progress = 0.77, t = 235.96 s / 425.29 tokens per second
4.12.023.562 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 102400, progress = 0.78, t = 243.41 s / 420.68 tokens per second
4.19.591.453 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 104448, progress = 0.80, t = 250.98 s / 416.16 tokens per second
4.27.223.858 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 106496, progress = 0.81, t = 258.61 s / 411.80 tokens per second
4.34.967.712 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 108544, progress = 0.83, t = 266.36 s / 407.51 tokens per second
4.42.825.724 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 110592, progress = 0.85, t = 274.21 s / 403.30 tokens per second
4.50.768.546 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 112640, progress = 0.86, t = 282.16 s / 399.21 tokens per second
4.58.800.455 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 114688, progress = 0.88, t = 290.19 s / 395.22 tokens per second
5.06.934.579 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 116736, progress = 0.89, t = 298.32 s / 391.31 tokens per second
5.15.212.649 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 118784, progress = 0.91, t = 306.60 s / 387.42 tokens per second
5.23.574.200 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 120832, progress = 0.92, t = 314.96 s / 383.64 tokens per second
5.32.044.062 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 122880, progress = 0.94, t = 323.43 s / 379.92 tokens per second
5.40.656.966 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 124928, progress = 0.96, t = 332.05 s / 376.24 tokens per second
5.49.335.698 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 126976, progress = 0.97, t = 340.72 s / 372.66 tokens per second
5.58.125.252 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 129024, progress = 0.99, t = 349.51 s / 369.15 tokens per second
6.04.796.765 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 130199, progress = 1.00, t = 356.19 s / 365.54 tokens per second
6.05.577.053 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 130711, progress = 1.00, t = 356.97 s / 366.17 tokens per second
6.07.866.390 I slot print_timing: id  0 | task 0 | prompt eval time =  359255.43 ms / 130715 tokens (    2.75 ms per token,   363.85 tokens per second)
6.07.866.397 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
6.07.866.399 I slot print_timing: id  0 | task 0 |       total time =  359255.43 ms / 130716 tokens
6.07.866.405 I slot print_timing: id  0 | task 0 |    graphs reused =          1
6.07.870.167 I slot      release: id  0 | task 0 | stop processing: n_tokens = 130715, truncated = 0
